 No,class,tweet
37,1,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof"
38,1,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta"
39,1,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby"
40,1,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl"""
41,1,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P"""
42,1,"""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg"""
43,1,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven"
44,1,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook"
45,1,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao"
46,1,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?"
47,1,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography"
48,1,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn"
49,1,"""@riananewman: @22EdHam brownies tonight"" what kind?!?!"
50,1,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it"
51,1,"""@sleepy_yongguk: ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo"
52,1,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT"
53,1,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof"
54,1,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395"
55,1,"""Bae"" sounds like such a ghetto word. Use something else"
56,1,"""Brownies for my brownie"" I love this movie. &#128517;"
57,1,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https://t.co/38GZ1jerPS"
58,1,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T"
59,1,"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their... http://t.co/sR1zceHx"
60,1,"""I am a thrill billy..with a hillbilly heart."" -@billyraycyrus. HAHAHAHAHA Jesus Murphy!"
61,1,"""I found a new way to chug you have to open your mouth alot"" #shitallysays"
62,1,"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd"
63,1,"""Is that an albino Mexican?""
""No dad, he's Asian."""
64,1,"""Just follow the yellow brick twitter."""
65,1,"""LOL, cripple!"" - Wendy Davis. RT @MailOnline: Scientists create remote-controlled chick to study shy penguins http://t.co/mT3B09Slod"
66,1,"""Mam, Ren&#233;e doet in haar rol net of ze ongesteld is Wat is ongesteld?"" Van dat soort vragen waar je denkt: hoe leg ik die weer uit."
67,1,"""Mine plays DMX and kirk Franklin smh @_justcallmeBRIT: Well my neighbors are ghetto . They get up at like 5am and beat their kids."""
68,1,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;"
69,1,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game."
70,1,"""The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted"""
71,1,"""The water isn't yellow, I'm a healthy student"""
72,1,"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch"""
73,1,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26"
74,1,"""Two roads diverged in a yellow wood, and I chose the one to J&#246;tunheimr""
- Robert Frost Giant"
75,1,YAH has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians).....
76,1,Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154 &#128155 &#128536
77,1,"""You hit no lights, no line for toco bell at 2 in he morning, and Diana's back in her house. It's a miracle"" - Charlie @dianaaaxo"
78,1,"""You look like little birds help you get dressed in the morning"""
79,1,"""Your teeth are like the stars."" ""Aww thanks!"" ""Yeah... yellow and far away from each other."""
80,1,"""hick and raver is a venn diagram that has a very large intersection"""
81,1,"""when rappers say twat it makes me feel weird"" &#128514;&#128514;&#128514;&#128557;"
82,1,#2013Faves RT &#8220 @grahamorama: #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards https://t.co/C6NHwUBlXN&#8221
83,1,#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?
84,1,"#BREAKING: AP calls Mass. Governor race for Charlie Baker. Watch live coverage on WCVB, streaming online. http://t.co/S6hY2eVoaT"
85,1,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy."
86,1,"#BlessJesus Amos 03:03:00 AM - Can two walk together, except they be agreed?"
87,1,#BlessJesus Amos 05:10:00 AM There are those who hate the one who upholds justice in court and detest the one who tells the truth.
88,1,#BlessJesus The #Crown of HIS head to the sole of HIS feet
89,1,#BlessJesusAir Matthew 06:26:00 AM Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than
90,1,#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong
91,1,"#CommonQuestionIGet

Why uou so ghetto?"
92,1,"#DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, #climatechange all our scary sense of hillbilly sneeze&gt"
93,1,"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot
#Unanimous"
94,1,#EarlyBird #early #morning #sunrise #dawn #bird #thebird #jerryreed @ Kansas City http://t.co/kuVq8UpwUw
95,1,#Ebola Great and I thought the panic from bird flu was bad. I really ain't got time for that.
96,1,#Ebola is a great metaphor for how #GOP #teaparty policies eat off of vital organs until the host dies. #Tcot #teabaggers
97,1,#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth
98,1,"#FemaleLogic is worse than the jig, I'm convinced"
99,1,#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees
100,1,"#Glory Isaiah Mom asked me if I wanted a brownie I said, no thanks 
She said what are fasting,"
101,1,#HOLIDAYSEASONLIVE @ShyGlizzy @plies Shy Glizzy Feat Plies - FREE THA GANG: http://t.co/pYGOSk0qCP
102,1,#HappyColumbusDay !!!! If is wasn't for #America.................#KarlMarx would never have thought of sharing #colonialism with #injuns !!!
103,1,#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........
104,1,#HellYeah RT @BaconGawd #No RT @HuffingtonPost Happy Fall! Pumpkin Spice Oreos are here http://t.co/2prvsKantE http://t.co/hleYm0YC29
105,1,"#HelloBrookland! We're here at the @MonroeStMarket opening! Serving free samples of cider, vegan sliders, brownies! http://t.co/BW9uYtLQu1"
106,1,"#HolySpirit Joshua 01:03:00 AM Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses."
107,1,#IU 8 straight nation #college soccer champions! Wow! #hoosiernation #hoosiers &#9917 &#127942
108,1,"#IU should make me an honorary student, id be way cooler than the other international students. i have my own football card! #hoosiers"
109,1,"#IndigenousPeoplesDay .........right. Because these #redskins had a lot of #queens, right? nomg. #sofunny"
110,1,#Iraq gov troops were handed a severe defeat by #ISIS at Saqlawiya -- there's chatter of over 300 soldiers lost &amp  Jihadis raving about it
111,1,"#NP ""Centuries"" ~FOB"
112,1,#Natitude? Okay. I'm only going to say it once. COMB yer BEARDS. #lol #wiggers
113,1,#NowPlaying : BT feat. Tori Amos - Blue Skies (radio edit) on #1069TheArrow - http://t.co/R5wuXA9jB6
114,1,#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6
115,1,#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6
116,1,#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - http://t.co/R5wuXA9jB6
117,1,#PDPLive is on November 10th. Get your early bird tickets from http://t.co/7xcL4Kyiuv @LifeOfShan http://t.co/ZcnP1ljoOW
118,1,#PacerNation 04/04/21 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers
119,1,"#RadioFreeNorthwest 218
Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchen
http://t.co/t9JyhAncPR"
120,1,"#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!"
121,1,#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.
122,1,#Royals Milwaukee let Yost go.Now they wished they hadn't cause they suck.How about now.He's the guy win or lose. Yankees fire Girardi &#128073 Yost
123,1,#RuinAComedian @midnight Charlie Lapdance
124,1,#Skating is for trash.
125,1,#StopWhitePeople RT @ABC7: 9 cases of West Nile virus infections reported in Orange County this year 105 dead birds found carrying virus
126,1,#TBT love you forever ling ling &#128115 &#128114 &#128152 @brittneycordova http://t.co/KEcfNjyrwE
127,1,#THEBOONDOCKS at 10:30:00 AM my nicca!
128,1,#TRUTH RT @notashley: David is the Charlie Brown of #Scandal
129,1,#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama
130,1,#WhatImCraving Peanut Butter Oreos &lt 3
131,1,#WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your Vyvanse&#9918 &#65039 &#9918 &#65039 &#128074 &#128074 #Yankees 2015!!
132,1,#Yankees
133,1,#Yankees #FireCashman I don't want Arod back.
134,1,#Yankees #Jeter Let him play the entire inning. That's fitting.
135,1,#Yankees #SEC Robertson in. Guy is fantastic. SEC pitcher!!
136,1,"#Yankees 3, #Astros 12:00:00 AM McCarthy outduels Keuchel in series finale http://t.co/hIJJAUKtJN"
137,1,#Yankees 6-0. Nine straight hits. Price... Not your night.
138,1,#Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF! You're killing me satellite douche.
139,1,#Yankees Damn. Well Joe that move to the bullpen really helped.
140,1,#Yankees I ain't complaining about the Royals win or lose game7. They showed heart. AL ride or die! No flex zone. They earned it!
141,1,#Yankees I went to Golds with Cruz in 2010 when he was a Sound. No upper /lower body strength.. Hmm now 40 HR hitter. Won't say the S word.
142,1,#Yankees If Royals have a fire sale. I want the whole team!! Leave Gardner and Tanaka. The rest can please go. Along with Joe and Cash.
143,1,#Yankees Nice bounce back @Michael Kay. Gotta keep this going!
144,1,#Yankees Pineda needed that 6'7. Great play!
145,1,"#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time"
146,1,#Yankees got beaten by a thug
147,1,"#Yankees take all three games in MoTown, I'm callin' it!!! #MLB"
148,1,#Yankees wasted Nu&#241 ez's season #rays #mlb
149,1,#drunk #trash #trashed #wasted @ The Draught Horse http://t.co/UvWkhpEswh
150,1,#foxnews cuts away when a Democrat talks and claim to be fair and balanced. LMAO network full of #teabaggers and liars.
151,1,#gouache #inktober #oldpainting #mt #tiki #wahine #surf #monkey #bright #happysunday #peace wishing&#8230 http://t.co/l73hiK0IZ8
152,1,"#hoosier fans, is cody zeller nominating for this years #NBA draft? #iubb"
153,1,#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!
154,1,#iubb #1 suiting up again tonight! #Indiana #IU #ncaa #hoosierdaddy #HoosierNation #hoosiers
155,1,"#metal only, honkies!"
156,1,#mt #commission #gouache #tiki #wahine #monkey #tubed #surfing #wavesliding #waterwalker #notkook http://t.co/vii3SmGRm3
157,1,#mt #goauche #monkey #oldpainting #vinyl #jazz #lounge http://t.co/hueH4HCxx7
158,1,#mt browngal #gouache #monkey #tiki http://t.co/kFhj8lWhbs
159,1,#np Shy Glizzy - Awwsome (Remix) (Feat. 2 Chainz &amp  A$AP Rocky) via @Spinrilla. http://t.co/OWxtdRKWbC
160,1,#philhughes @Yankees #nyy better then UR whole team
161,1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/XxcdQvzI9t"
162,1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/cOfGRtW9br"
163,1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Teen | Cutie lesbian teens toy slits http://t.co/ZS05enjjwm"
164,1,#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad
165,1,"#rejectedpeanutsspecials Its The Grape Crackhead, Charlie Brown!"
166,1,#southcarolina has a highschool graduation rate near 50.00% and that's why they have so many uninformed #teabaggers #morningjoe
167,1,#stateoftheunion would last 15mins if they let the President talk all that standing up clapping is for the birds
168,1,#tbt my precious gook baby &#128525 &#128525 &#128525 &#128525 &#128525 &#128525  @outtapocketjuju http://t.co/2QJLJj6tK5
169,1,#tbt when i took my likkle monkey jimmys http://t.co/LIK3xpZ6eZ
170,1,"#teabagger state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much #SLAVERY."
171,1,#tikiti - rough mock for the base of what will eventually be an ashtray @ Tiki Ti http://t.co/8zE8aqY0
172,1,#uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk!
173,1,"&#127813;&#127813;&#127813; RT @GottliebShow: ""Killer line?"" @SBNationNBA: Josh Smith dropped a killer trash talk line on Kenneth http://t.co/C8d3sJoUpj&#8221;"
174,1,&#127867 &#127867 &#127867 &#127804 &#128153 &#127913  plus Sheryl crow http://t.co/49KYwZnotU
175,1,&#128027 Err:510 &#128184  &#8220 @GOALSminded: its true that the early bird.. gets the worm first!&#8221
176,1,&#128075  hi-ho http://t.co/FiC4FnRutZ
177,1,&#128514 &#128514 maaaaannnn i hope so! RT @ABrown252: @VonshayeB did we get rid of John Legend looking Charlie Batch?
178,1,&#128514 &#128514 mike calls me t-bird @mikemastroccco
179,1,&#128520 &#127383  we snap chatted for one night lol. But you're cute. Snapchat me back nig
180,1,"&#128525;&#128525;&#128525;

&#8220;@whatskillfeed: i guess ill just trash this drawing because of roster changes...&#128532; http://t.co/2r8wqgE8cR&#8221;"
181,1,&#128530  my nerves are being worked cos of my monkey &#128529 &#128545
182,1,&#128553  monkey mad
183,1,&#128557 &#128557 &#128557 &#128530  RT @KingHov1313: At work imma real Uncle Tom!&#128584
184,1,&#193 lbum de fotos: csitaly: [TS3]Fairy Tail - Satan Soul Mirajane Strauss made with The Sims 3. Happy... http://t.co/b4i8EiMux2
185,1,&#8220 @ATrue_Cowboy: Truth about any distance for all you love birds out there! http://t.co/1Kqnw4LJ&#8221
186,1,"&#8220 @A_Brown_30: Frogger, best game ever&#8221 only cuz You suck at flappy bird"
187,1,&#8220 @AbstractLife: @NigelDixon1 @SeanTHarrington Orton is trash idc&#8221  he ain't been playing. Trashlex Smith only sat out Kaep took his spot.
188,1,&#8220 @AdderallHadMe: Adderall had me killing two birds with one stone http://t.co/wMiNpN64m2&#8221 &#128128
189,1,&#8220 @Amburger_6: Wtf is flappy bird&#8221  are you kidding me
190,1,&#8220 @AntiGlib: RT @nateyfu123: #Yankees Michael Pineda in his next start.. http://t.co/Zb1zWN0jet&#8221  @954Nole
191,1,&#8220 @AshlynWynns: I'm a mud shark because I have black friends. Makes perfect sense. &#128514 &#128557 &#128514 &#128557 #idiotic&#8221 @
192,1,&#8220 @Ashton5SOS: An itsy bitsy teeny weeny yellow pock-a-dot bikini&#8221 Polk Ashton. Polk
193,1,&#8220 @AustinMahone: just got a new fish it's albino and I named him shaquita #yee&#8221  bahaha
194,1,&#8220 @BasebaIIVines: Michael Pineda hides pine tar...on his neck http://t.co/PJRKJeaY6h&#8221  fact that the Yankees cheat &#128077 &#128077 &#128077  Go Red Sox!! #Boston
195,1,&#8220 @BeautyOfASinner: So they really deleted flappy bird from the App Store cus someone killed themselves over it &#128514 &#8221  foreal foreal ?? &#128561 &#128557
196,1,&#8220 @BestOfAds: Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales http://t.co/PrnJ8EFAoi&#8221  man wtf
197,1,&#8220 @BobbyBudnic Oxtails and yellow rice is blasphemy&#8221  boneless
198,1,"&#8220;@BurgerKing: What&#8217;s going to be your pick for #SelectionSunday? #2for5 #WatchLikeaKing http://t.co/aBam30gSk4&#8221;

Dis make colored folk happy"
199,1,"&#8220;@CMRE24 wasn&#8217;t that great to me either RT @Ahki117: ""Equalizer"" was trash Denzel officially washed bruh&#8221;neither was flight"
200,1,&#8220 @CRYaboutitNIGGA: I get paid too chill.&#8221  Share the wealth Lil nicca
201,1,&#8220 @CaptainYankee2: Two of the best Yankees Derek Jeter and Joe Torre #JoeTorreDay http://t.co/XMyxfDBKOX&#8221  @jordan_luree
202,1,&#8220 @CommonBlackGirI: here&#8217 s to all the kids who have never found their name on anything in a souvenir store&#8221 thanks mom for the ghetto name.
203,1,&#8220 @CommonManKFAN: And that's why mock drafts are a joke my friends.....&#8221 Anyone???
204,1,&#8220 @DIYcookery: Oreo cookies&#128523  http://t.co/8zcjWW56Zz&#8221 bruh &#128525 &#128539 &#128553
205,1,"&#8220;@DShmee: Tom Brady slowly becoming washed?&#128064;&#8221;

Nah.. His weapons just trash"
206,1,&#8220 @Deuce1990: What will the Lakers be after kobe&#8221  trash
207,1,"&#8220;@El_Grillo1: Islamic State suspects in Indonesia are Chinese Uighurs http://t.co/58IDicaHzT&#8221;
Uighur Jihadis: they're not just a PRC tool."
208,1,&#8220 @GianneNichole: Lakers really trash.&#8221 &#128686
209,1,&#8220 @GreatGawd: Name something trash&#8221  Cavs
210,1,&#8220 @HeyKeifer: Golden Oreos &#128016 regular Oreos &#128686 &#8221 YES!!!
211,1,&#8220 @HeyKeifer: Oreos are basically dirt circles with cream.&#8221 True.
212,1,&#8220 @HumbleTeej: @elisabethepps where am I on this rating scale???&#8221  Depends. You still wearing them colored contacts or naw?
213,1,&#8220 @Iifetip: Kit Kat brownies. http://t.co/40W2a8qlBy&#8221 making.
214,1,&#8220 @ImToBlame: Bruh RT @PriscoCBS: Trent took the yellow path http://t.co/1XxGuKtjp8&#8221 &#128514 &#128514 &#128514 &#128514
215,1,&#8220 @JayGorgeous: i need more beanies&#8221 just ordered two true religion ones lol
216,1,&#8220 @JohnelHadleyJr: Uncle Charlie just got thru lip singing?!&#8221 haha
217,1,&#8220 @JuanNdaCut: When twitter rappers dm me their trash links http://t.co/o5Orzo1O19&#8221
218,1,&#8220 @JukeJuke_9: Lance Stevenson gone leave Indiana&#8221 he trash anyway
219,1,"&#8220;@JuniorMaye8: A lot of them are though. Attitudes be pure trash&#8221;

#TeamWhiteGirls 
#SwirlTheWorld"
220,1,&#8220 @KarynHalpin: Where do all the foreskins go when they circumcise a guy?&#8221  the Foreskin Fairy takes them after you put them under your pillow
221,1,&#8220 @Kik2Clean: Brah Wiz cheated &#128514 &#128557  http://t.co/OZ2PnDNGJ0&#8221  she had hair like a dyke..... Uh.. Duh?
222,1,"&#8220;@King_SM If Howard elbow bosh, will bosh fight back?&#8221; don't have to got mcbob bird and UD"
223,1,&#8220 @LastWordEvan: An inning and a half away from Alex Rodriguez being eligible to play. Just a thought. #Yankees #MLB&#8221  OMG. Feel an ulcer.
224,1,&#8220 @MannyBDlopez: When you open your starburst candy and get 2 yellows http://t.co/F0dDbfEzB6&#8221  lmao bruh
225,1,&#8220 @MomMeMustHaves: MMMH Daily is out! http://t.co/bPtRtXcel0 Stories via @KristinCruz&#8221  @ExMoShow #yellow is IN! &amp  @romyraves luv the bling!
226,1,&#8220 @OGBEARD: Some of y'all bios are trash.&#8221  Mine pretty good
227,1,"&#8220;@PlMPCESS: In the fashion world ""urban"" means ""stolen from black people"" its ghetto on us, and urban on them haha http://t.co/S0XWGfLJ9C&#8221; &#128588;"
228,1,"&#8220;@PrayForJack I survived swine flu, bird flu, west nile and the Bloomberg administration. I'll be fine&#8221;the abortion survival. Cant 4get that"
229,1,&#8220 @PubesOnFleeK: My tweets trash&#8221
230,1,&#8220 @Queendev_: My leave out is trash &#128552 &#8221 &#128557 &#128557 &#128557  u sick
231,1,&#8220 @RaleighBeougher: dumb beaner&#8221  http://t.co/r0hABEQhSu
232,1,&#8220 @RudeNation21: When girls take my snap backs and beanies lol&#128169  that's 35 dollars a hat and 40 for the AX beanieS &#128530 &#8221 I don't let them take it
233,1,&#8220 @SarabiaErik: I just accidentally ate a pot brownie. I guess there goes my pledge of being drug free for life . lolz .&#8221  Lmao #College
234,1,&#8220 @SexualMedic: How I feel when I'm throwing trash away... http://t.co/qQ94N1rD5N&#8221  everyday in school.
235,1,&#8220 @ShesSoBlessed_: Oreos And Milk &#128523 &#8221
236,1,"&#8220;@TWOLVEGIRL: I find myself wanting to google ""the yellow king"" #TrueDetective&#8221; No kidding! What is going on?"
237,1,&#8220 @TheFunnyVine: Red Neck Ice Bucket Challenge &#128514  https://t.co/cAgp3nIofd&#8221  he must be from the SIP. #redneck
238,1,&#8220 @TheSportsDiva23: Adam Jones homers Yankees now lead 5-3.&#8221 Guy is a monsta
239,1,&#8220 @Tom_2Times: Making weed brownies tonight&#8221  goin slide me a batch relo
240,1,"&#8220;@TryHardSilva: Quote this with a weezy verse"" I'm a diamond in the rough like a baby in the trash"
241,1,"&#8220;@UTRagers: COLT MCCOY WINS&#8252;&#65039;
#HookEm&#128002;&#8221; he's still trash"
242,1,"&#8220;@WORSTRAPLYRlCS: http://t.co/hE19TIfqFX&#8221;

How is this trash..."
243,1,&#8220 @WillyC14_: &#8220 @urbie_6: #SingleBecause ill find a cute hoosier to date next year &#128527 &#8221  @Tgold32&#8221  @connorbradley
244,1,"&#8220;@Yankees: #Yankees and Red Sox are scoreless as we play in the 2nd inning.&#8221;
THE BAMBINO IS WATCHING!"
245,1,"&#8220 @Yankees: Alfredo Aceves in to relieve @CC_Sabathia here in the 4th. #Yankees&#8221 he needs to go away , gas can !"
246,1,&#8220 @Yattabing Cavs trash.. Heat trash.. Smh&#8221 pat gotta make trades
247,1,&#8220 @Yummy: Oreo ice cream cake &#128588  http://t.co/dvabPmgQjo&#8221  &#128525
248,1,&#8220 @_LoveCarolina_: My Lakers are going to be so trash this season I can't wait &#128588 &#128079 &#128530 &#8221  :(
249,1,&#8220 @__Bino: Looking at nip rings I can't wait until I can change mine &#128527 &#8221 &#128221 &#128064 &#128209 lmao
250,1,&#8220 @__Black_Jesus: &#8220 @lil_aerii: Happy new year &#127882 &#127881 &#127881 &#127881 &#127881 &#127881 &#127881 &#127882 &#127882 &#8221 check yo clock Hun we got another hour lol..&#8221 they just did the lil count down thing
251,0,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
252,0,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
253,0,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
254,0,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be TRUE or it might be faker than the bitch who told it to ya &#57361
